,Neighborhood,Price($),Style,Sq. Ft.,Fire?
1305,NAmes,115000,1 Story,912,No
1306,Mitchel,215000,2 Story,1961,Yes
1307,NridgHt,256300,1 Story,1600,Yes
1308,NAmes,142000,1 Story,1051,No
1309,BrkSide,149000,1 Story,1432,Yes
1310,Sawyer,149500,2 Story,1400,Yes
1311,CollgCr,176432,1 Story,1314,Yes
1312,Somerst,310013,2 Story,1880,Yes
1313,ClearCr,302000,1 Story,1824,Yes
1314,Gilbert,185900,2 Story,1651,Yes
1315,Sawyer,128500,1 Story,988,No
1316,Sawyer,129000,1 Story,912,No
1317,Mitchel,113000,1 Story,988,No
1318,Edwards,100000,1 Story,1664,No
1319,StoneBr,387000,1 Story,1884,Yes
1320,Crawfor,141500,2 Story,1436,Yes
1321,SWISU,100000,Other,1666,Yes
1322,NridgHt,325624,2 Story,2161,Yes
1323,NAmes,134500,Other,999,No
1324,IDOTRR,72000,1 Story,819,No
1325,CollgCr,139500,1 Story,1022,No
1326,OldTown,120000,1 Story,1130,Yes
1327,Somerst,245000,1 Story,1432,Yes
1328,NWAmes,182900,1 Story,1440,Yes
1329,NAmes,147500,Other,1521,No
1330,OldTown,140000,Other,936,No
1331,CollgCr,179900,1 Story,1234,No
1332,Mitchel,150900,1 Story,1728,No
1333,NAmes,143250,1 Story,981,No
1334,OldTown,120000,Other,1183,No
1335,NWAmes,200000,2 Story,2090,Yes
1336,BrkSide,100000,1 Story,1301,No
1337,IDOTRR,85000,1 Story,641,No
1338,StoneBr,377426,1 Story,1922,Yes
1339,NAmes,163500,1 Story,1200,Yes
1340,IDOTRR,35311,1 Story,480,No
1341,CollgCr,239799,2 Story,1962,No
1342,Edwards,83000,Other,1414,Yes
1343,NridgHt,370000,2 Story,2690,Yes
1344,NridgHt,230000,1 Story,1314,Yes
1345,Somerst,262500,1 Story,1566,No
1346,OldTown,220000,Other,2486,Yes
1347,Somerst,147000,1 Story,1795,Yes
1348,SawyerW,225000,2 Story,2200,Yes
1349,Edwards,122000,1 Story,1383,No
1350,Gilbert,214000,2 Story,2060,Yes
1351,IDOTRR,115000,Other,1517,No
1352,Mitchel,171000,Other,1118,Yes
1353,BrkSide,157000,Other,1497,No
1354,SawyerW,180000,1 Story,1298,Yes
1355,Blmngtn,160200,1 Story,1145,Yes
1356,OldTown,107900,1 Story,901,No
1357,CollgCr,185000,Other,1838,No
1358,NAmes,148000,1 Story,1194,No
1359,Edwards,159900,Other,1152,No
1360,BrDale,83000,2 Story,987,No
1361,NAmes,141000,1 Story,1800,No
1362,SawyerW,171000,2 Story,1564,Yes
1363,NAmes,139950,1 Story,1144,No
1364,BrkSide,116500,1 Story,858,No
1365,IDOTRR,141000,Other,1969,Yes
1366,NAmes,108000,Other,1337,No
1367,CollgCr,207000,1 Story,1390,No
1368,OldTown,79900,Other,1198,No
1369,Crawfor,300000,1 Story,1646,Yes
1370,OldTown,143000,1 Story,1133,No
1371,Somerst,139000,2 Story,1080,No
1372,Mitchel,112000,1 Story,833,No
1373,CollgCr,177439,2 Story,1356,Yes
1374,Edwards,93000,1 Story,1124,Yes
1375,SWISU,136500,Other,1694,Yes
1376,Sawyer,149900,Other,1034,Yes
1377,Sawyer,80000,1 Story,1006,No
1378,CollgCr,156000,1 Story,990,No
1379,Mitchel,148000,Other,1210,No
1380,Veenker,245500,1 Story,1288,Yes
1381,Sawyer,141000,1 Story,864,No
1382,OldTown,106000,Other,2138,No
1383,CollgCr,260000,1 Story,1734,No
1384,BrkSide,128000,2 Story,1232,Yes
1385,Blueste,162500,1 Story,1191,Yes
1386,Mitchel,157900,1 Story,1188,No
1387,Gilbert,195500,2 Story,1604,No
1388,Sawyer,124000,1 Story,912,No
1389,OldTown,155500,2 Story,1595,Yes
1390,SawyerW,275000,Other,1644,Yes
1391,Mitchel,138000,Other,796,No
1392,Mitchel,173000,Other,1287,Yes
1393,SawyerW,159000,1 Story,1218,No
1394,BrkSide,108000,Other,1668,No
1395,BrkSide,72500,1 Story,720,No
1396,SawyerW,155000,1 Story,1114,No
1397,SawyerW,224243,1 Story,1450,No
1398,NridgHt,266000,1 Story,1684,Yes
1399,Blmngtn,246990,1 Story,1511,Yes
1400,NAmes,142600,1 Story,1728,No
1401,Gilbert,169990,1 Story,1316,Yes
1402,OldTown,117000,1 Story,833,No
1403,BrDale,100000,2 Story,987,No
1404,NridgHt,394617,1 Story,1932,Yes
1405,NoRidge,263000,2 Story,2202,Yes
1406,NAmes,139000,1 Story,1056,No
1407,BrDale,106000,2 Story,987,No
1408,NAmes,159500,1 Story,1194,Yes
1409,CollgCr,323262,1 Story,1680,Yes
1410,IDOTRR,108000,Other,1336,No
1411,SawyerW,228000,2 Story,2097,Yes
1412,NAmes,130000,1 Story,864,No
1413,IDOTRR,127000,2 Story,1355,No
1414,SWISU,127000,Other,1691,Yes
1415,BrkSide,109500,Other,784,No
1416,Somerst,227875,2 Story,1761,No
1417,Somerst,177500,2 Story,1573,No
1418,Gilbert,183200,2 Story,1509,Yes
1419,Timber,180000,1 Story,1339,Yes
1420,SawyerW,172000,1 Story,1398,No
1421,CollgCr,207000,1 Story,1463,No
1422,NWAmes,167900,1 Story,1116,Yes
1423,Sawyer,143900,1 Story,1696,Yes
1424,SawyerW,159000,1 Story,1114,No
1425,BrDale,111750,2 Story,1302,No
1426,OldTown,149700,1 Story,1236,No
1427,Mitchel,240000,1 Story,1710,Yes
1428,BrkSide,121000,Other,952,Yes
1429,CollgCr,149900,Other,985,No
1430,Gilbert,178900,2 Story,1484,Yes
1431,Mitchel,126500,1 Story,874,No
1432,CollgCr,128500,1 Story,971,Yes
1433,NridgHt,370967,1 Story,1800,Yes
1434,Blmngtn,192500,1 Story,1555,Yes
1435,CollgCr,297000,1 Story,1718,Yes
1436,CollgCr,276000,2 Story,2574,Yes
1437,Gilbert,165000,2 Story,1470,Yes
1438,Edwards,86000,1 Story,605,No
1439,IDOTRR,44000,1 Story,797,No
1440,OldTown,89900,1 Story,869,No
1441,Gilbert,240000,1 Story,1670,Yes
1442,NoRidge,430000,1 Story,3228,Yes
1443,CollgCr,250000,1 Story,1651,Yes
1444,NAmes,155000,1 Story,1575,Yes
1445,BrkSide,150000,Other,2009,Yes
1446,Gilbert,186500,2 Story,1792,Yes
1447,Sawyer,115000,1 Story,890,No
1448,Gilbert,178000,2 Story,1593,Yes
1449,NAmes,158500,Other,1254,Yes
1450,NAmes,146500,1 Story,1624,Yes
1451,NAmes,197600,Other,2461,Yes
1452,NAmes,127500,1 Story,864,No
1453,Edwards,128000,1 Story,1172,No
1454,NAmes,157900,1 Story,1442,No
1455,OldTown,114000,2 Story,1232,No
1456,Mitchel,137500,1 Story,889,No
1457,NWAmes,250000,2 Story,2654,Yes
1458,NAmes,114500,1 Story,912,No
1459,Mitchel,143000,Other,1026,Yes
1460,Gilbert,185088,2 Story,1733,Yes
1461,Mitchel,131900,Other,796,No
1462,NAmes,139000,1 Story,1632,Yes
1463,Gilbert,168500,Other,1474,Yes
1464,Sawyer,89500,1 Story,998,No
1465,NWAmes,172000,Other,1083,Yes
1466,Edwards,177000,Other,1357,Yes
1467,NAmes,153000,1 Story,1124,Yes
1468,Somerst,225000,1 Story,1436,No
1469,BrkSide,210000,Other,1635,Yes
1470,OldTown,105000,Other,1214,No
1471,NAmes,127000,1 Story,1107,No
1472,IDOTRR,124900,1 Story,1001,No
1473,Mitchel,188000,2 Story,2000,Yes
1474,Edwards,124000,Other,1610,Yes
1475,NAmes,136500,1 Story,1050,No
1476,Gilbert,245000,2 Story,2312,Yes
1477,IDOTRR,84500,Other,754,No
1478,NAmes,155000,1 Story,1337,Yes
1479,NAmes,137000,2 Story,1728,Yes
1480,NAmes,176000,1 Story,1329,Yes
1481,OldTown,110000,2 Story,1230,No
1482,CollgCr,157500,2 Story,1388,No
1483,NAmes,154000,1 Story,1154,Yes
1484,NAmes,124500,1 Story,882,No
1485,Gilbert,181134,1 Story,1340,No
1486,CollgCr,224900,2 Story,1768,No
1487,Edwards,115000,1 Story,864,No
1488,Mitchel,146800,Other,1062,Yes
1489,Timber,175000,1 Story,1412,Yes
1490,Mitchel,149900,1 Story,833,No
1491,Sawyer,132000,1 Story,1057,No
1492,NAmes,130000,1 Story,1800,No
1493,SawyerW,179000,1 Story,1349,No
1494,CollgCr,200000,2 Story,1861,No
1495,SawyerW,269500,2 Story,2787,Yes
1496,SWISU,189000,2 Story,2601,No
1497,NWAmes,200000,1 Story,1671,Yes
1498,Edwards,176000,1 Story,1132,No
1499,Somerst,221300,2 Story,1830,No
1500,Sawyer,88750,1 Story,704,No
1501,NAmes,131000,1 Story,1008,No
1502,CollgCr,187000,1 Story,1222,No
1503,BrDale,85400,2 Story,987,No
1504,Gilbert,175000,2 Story,1647,Yes
1505,CollgCr,293200,1 Story,1602,Yes
1506,NWAmes,180000,1 Story,1523,Yes
1507,NridgHt,325300,2 Story,2376,Yes
1508,NWAmes,175000,1 Story,1126,No
1509,SawyerW,218000,2 Story,1802,Yes
1510,NAmes,172500,Other,1556,Yes
1511,SawyerW,239500,2 Story,2020,Yes
1512,NAmes,160000,1 Story,1116,No
1513,Edwards,155000,1 Story,1125,No
1514,Edwards,79000,1 Story,774,No
1515,Sawyer,129000,1 Story,1120,No
1516,BrDale,91500,2 Story,1218,No
1517,SawyerW,277000,2 Story,2062,Yes
1518,Crawfor,222000,1 Story,1680,Yes
1519,ClearCr,200500,Other,3086,Yes
1520,SawyerW,148325,Other,1229,Yes
1521,Crawfor,170000,1 Story,1680,No
1522,NridgHt,280000,1 Story,1577,Yes
1523,NAmes,128000,1 Story,1063,No
1524,OldTown,295000,Other,3493,Yes
1525,BrkSide,87000,2 Story,906,No
1526,Gilbert,179000,2 Story,1515,Yes
1527,Edwards,135500,Other,1393,No
1528,NAmes,132500,1 Story,1148,No
1529,SawyerW,262280,2 Story,2329,Yes
1530,BrkSide,114500,Other,1176,Yes
1531,OldTown,112000,Other,1310,No
1532,Timber,204000,2 Story,2237,Yes
1533,SawyerW,269500,2 Story,2787,Yes
1534,SawyerW,182000,2 Story,1609,No
1535,NAmes,227000,2 Story,1988,Yes
1536,Sawyer,144900,1 Story,960,No
1537,SWISU,145000,Other,1477,Yes
1538,NAmes,129000,1 Story,936,No
1539,OldTown,100000,1 Story,1047,No
1540,Timber,172500,Other,1442,No
1541,NAmes,148000,1 Story,1175,No
1542,NWAmes,158000,1 Story,1193,Yes
1543,Sawyer,139000,1 Story,1121,No
1544,NAmes,163000,1 Story,1261,Yes
1545,MeadowV,85500,2 Story,1092,No
1546,NAmes,136000,1 Story,1143,No
1547,NAmes,104900,Other,1738,Yes
1548,BrkSide,130000,1 Story,838,No
1549,Edwards,119900,1 Story,1678,No
1550,BrkSide,162900,Other,1573,Yes
1551,NWAmes,170000,2 Story,1670,No
1552,Gilbert,188500,Other,1119,No
1553,Gilbert,183000,2 Story,1633,Yes
1554,CollgCr,174000,Other,1282,No
1555,Gilbert,184100,Other,1419,Yes
1556,NoRidge,402000,2 Story,2448,Yes
1557,Edwards,96000,Other,1137,No
1558,BrkSide,139900,Other,1416,No
1559,Somerst,263435,2 Story,1935,No
1560,OldTown,123000,2 Story,1427,No
1561,NoRidge,279500,2 Story,2125,Yes
1562,NAmes,242000,Other,2978,Yes
1563,Edwards,146000,1 Story,1350,Yes
1564,OldTown,119900,Other,1118,Yes
1565,OldTown,122000,2 Story,1324,No
1566,Crawfor,157000,1 Story,1336,Yes
1567,Somerst,173733,2 Story,1224,No
1568,NAmes,187500,1 Story,1453,Yes
1569,CollgCr,237000,2 Story,2031,Yes
1570,Mitchel,162000,1 Story,1204,No
1571,NWAmes,135000,1 Story,1656,No
1572,ClearCr,200000,2 Story,1688,No
1573,NoRidge,221000,2 Story,1839,No
1574,StoneBr,275000,1 Story,1742,Yes
1575,Gilbert,206580,1 Story,1525,Yes
1576,NridgHt,173000,1 Story,1405,Yes
1577,NAmes,163000,1 Story,1362,Yes
1578,BrkSide,117000,Other,1348,Yes
1579,CollgCr,231500,2 Story,1792,Yes
1580,Edwards,135000,1 Story,1229,No
1581,NWAmes,184500,Other,1875,Yes
1582,OldTown,140000,Other,1499,Yes
1583,NoRidge,284500,Other,2199,Yes
1584,Edwards,108500,Other,865,Yes
1585,IDOTRR,135000,Other,1666,No
1586,OldTown,160000,Other,2414,Yes
1587,NAmes,129500,1 Story,1216,No
1588,OldTown,105000,Other,1374,No
1589,CollgCr,194000,1 Story,1240,No
1590,Crawfor,188700,2 Story,1660,Yes
1591,NAmes,112900,1 Story,1036,No
1592,OldTown,119164,Other,1656,No
1593,Sawyer,154000,1 Story,1060,Yes
1594,CollgCr,360000,1 Story,2140,No
1595,NAmes,172000,Other,1246,Yes
1596,NWAmes,218500,1 Story,1829,No
1597,OldTown,149500,Other,1962,Yes
1598,Blueste,123900,2 Story,1045,Yes
1599,NoRidge,235000,2 Story,1755,Yes
1600,Gilbert,181000,2 Story,1690,Yes
1601,Mitchel,100000,2 Story,1872,No
1602,SawyerW,233000,2 Story,2084,No
1603,CollgCr,164990,1 Story,1310,Yes
1604,Edwards,225000,2 Story,2008,No
1605,Gilbert,185000,1 Story,1187,No
1606,Sawyer,137500,Other,1422,Yes
1607,CollgCr,205000,1 Story,1541,Yes
1608,NridgHt,207000,1 Story,1362,Yes
1609,Somerst,339750,2 Story,2078,Yes
1610,NridgHt,298236,2 Story,2389,Yes
1611,Somerst,176400,1 Story,1143,Yes
1612,StoneBr,438780,2 Story,2945,Yes
1613,SawyerW,146000,1 Story,1100,No
1614,NoRidge,280000,2 Story,1924,Yes
1615,NridgHt,290000,2 Story,2400,Yes
1616,NAmes,103000,1 Story,1224,No
1617,CollgCr,206000,1 Story,1208,No
1618,Edwards,129000,1 Story,1144,No
1619,NPkVill,148500,2 Story,1441,Yes
1620,Mitchel,160000,Other,1750,No
1621,Sawyer,158000,1 Story,1159,Yes
1622,SawyerW,220000,2 Story,1915,Yes
1623,SawyerW,248500,2 Story,1731,No
1624,SWISU,150000,2 Story,2592,No
1625,Timber,335000,2 Story,2519,Yes
1626,Timber,231713,1 Story,1689,No
1627,OldTown,115000,1 Story,789,No
1628,NAmes,145000,Other,941,No
1629,BrkSide,159000,Other,1664,Yes
1630,CollgCr,285000,1 Story,1668,Yes
1631,Gilbert,176500,2 Story,1632,Yes
1632,NAmes,277500,2 Story,2448,Yes
1633,NAmes,138000,Other,1320,No
1634,CollgCr,219500,2 Story,2034,No
1635,NAmes,129800,1 Story,816,Yes
1636,NoRidge,290000,2 Story,2526,Yes
1637,Sawyer,124000,1 Story,1054,No
1638,CollgCr,211000,2 Story,1992,Yes
1639,NAmes,141000,1 Story,936,No
1640,Sawyer,126000,1 Story,984,No
1641,NAmes,133500,Other,1461,No
1642,SWISU,155000,2 Story,1135,No
1643,CollgCr,198000,1 Story,1336,No
1644,CollgCr,235000,2 Story,1823,No
1645,CollgCr,194500,1 Story,1232,No
1646,Crawfor,230000,1 Story,1648,Yes
1647,NAmes,180000,1 Story,2207,Yes
1648,Somerst,280750,2 Story,3005,Yes
1649,CollgCr,193000,1 Story,1361,No
1650,StoneBr,236500,1 Story,1616,Yes
1651,Sawyer,137000,Other,860,No
1652,IDOTRR,120500,1 Story,778,Yes
1653,Crawfor,230000,2 Story,1517,Yes
1654,NAmes,98600,1 Story,1235,No
1655,SawyerW,143500,1 Story,1158,No
1656,Edwards,125000,1 Story,1089,Yes
1657,NridgHt,318061,1 Story,1869,Yes
1658,OldTown,80000,1 Story,861,No
1659,NoRidge,372500,Other,2786,Yes
1660,NAmes,127000,1 Story,1045,Yes
1661,Edwards,159500,2 Story,1426,No
1662,SawyerW,163000,2 Story,1680,No
1663,Crawfor,234000,2 Story,2080,Yes
1664,Sawyer,187000,1 Story,1375,Yes
1665,NWAmes,164000,1 Story,1295,No
1666,Somerst,216000,2 Story,1674,No
1667,NAmes,128500,1 Story,952,No
1668,NridgHt,171750,1 Story,1405,Yes
1669,ClearCr,185000,2 Story,2126,No
1670,IDOTRR,82000,1 Story,540,No
1671,Somerst,303477,2 Story,2610,Yes
1672,NoRidge,584500,2 Story,3500,Yes
1673,Gilbert,141000,1 Story,864,No
1674,BrkSide,137000,Other,1654,Yes
1675,CollgCr,145000,1 Story,1100,No
1676,CollgCr,239000,1 Story,1800,No
1677,Somerst,307000,1 Story,1694,Yes
1678,OldTown,109500,1 Story,792,No
1679,Gilbert,185000,2 Story,1718,Yes
1680,CollgCr,192000,1 Story,1431,No
1681,SWISU,197000,Other,3082,Yes
1682,SawyerW,113722,1 Story,1513,No
1683,Somerst,311872,1 Story,1726,Yes
1684,MeadowV,75190,2 Story,1092,No
1685,OldTown,127500,Other,1296,No
1686,Edwards,235000,2 Story,2108,Yes
1687,IDOTRR,127500,1 Story,1040,No
1688,Crawfor,205000,Other,2480,Yes
1689,CollgCr,226000,1 Story,1479,No
1690,NAmes,159000,1 Story,1256,No
1691,OldTown,139000,Other,1436,Yes
1692,SawyerW,193000,1 Story,1617,Yes
1693,Crawfor,191000,Other,2555,Yes
1694,Sawyer,119916,1 Story,864,No
1695,NWAmes,215000,2 Story,2093,Yes
1696,Edwards,64000,Other,1120,No
1697,Timber,224500,2 Story,1692,No
1698,NAmes,345000,Other,2704,Yes
1699,ClearCr,107500,Other,1224,No
1700,NAmes,156500,1 Story,1377,Yes
1701,IDOTRR,169500,Other,1818,Yes
1702,NAmes,137900,1 Story,2136,No
1703,CollgCr,133500,1 Story,864,Yes
1704,Timber,359900,1 Story,1838,Yes
1705,NAmes,142125,1 Story,1078,No
1706,Edwards,121500,1 Story,1073,No
1707,BrkSide,131000,Other,1218,Yes
1708,NridgHt,286500,1 Story,1712,Yes
1709,Edwards,144500,1 Story,1526,Yes
1710,Somerst,260000,1 Story,1488,Yes
1711,Sawyer,150000,1 Story,1921,No
1712,Somerst,222000,1 Story,1726,Yes
1713,Crawfor,174500,2 Story,1564,Yes
1714,SawyerW,142500,1 Story,1141,No
1715,Edwards,130000,1 Story,1630,Yes
1716,Edwards,58500,1 Story,864,No
1717,NridgHt,350000,2 Story,2385,Yes
1718,NAmes,111250,1 Story,864,No
1719,Mitchel,201000,1 Story,1560,No
1720,NAmes,165000,Other,1146,Yes
1721,BrkSide,132000,Other,854,No
1722,Somerst,177000,2 Story,1512,No
1723,CollgCr,235500,2 Story,1873,Yes
1724,NAmes,177625,1 Story,1728,Yes
1725,BrkSide,150000,Other,1582,Yes
1726,CollgCr,155835,2 Story,1456,Yes
1727,NAmes,179900,Other,1265,Yes
1728,SawyerW,271900,1 Story,2196,Yes
1729,OldTown,55000,2 Story,1086,No
1730,OldTown,135500,1 Story,960,No
1731,Mitchel,159000,2 Story,2432,No
1732,BrkSide,80500,Other,912,No
1733,Sawyer,122000,1 Story,900,No
1734,Crawfor,294464,1 Story,1648,Yes
1735,SWISU,135000,Other,1981,Yes
1736,Veenker,218000,1 Story,1437,Yes
1737,CollgCr,295493,1 Story,1630,Yes
1738,NWAmes,185000,1 Story,1442,Yes
1739,NWAmes,159900,1 Story,1444,Yes
1740,CollgCr,173000,2 Story,1422,Yes
1741,NAmes,139500,1 Story,1008,No
1742,CollgCr,153500,Other,1025,Yes
1743,NAmes,200000,1 Story,1652,Yes
1744,Edwards,135000,Other,1470,No
1745,StoneBr,251000,1 Story,1652,No
1746,SWISU,105000,2 Story,1242,Yes
1747,CollgCr,136500,1 Story,848,No
1748,Gilbert,193000,2 Story,1593,Yes
1749,NAmes,119000,Other,1252,No
1750,CollgCr,149000,1 Story,848,Yes
1751,NAmes,124500,1 Story,864,No
1752,Gilbert,160000,Other,1694,Yes
1753,NAmes,97000,1 Story,864,No
1754,NWAmes,175500,1 Story,1242,Yes
1755,NWAmes,272000,2 Story,2872,Yes
1756,OldTown,125000,1 Story,825,No
1757,NWAmes,136905,1 Story,1680,No
1758,Somerst,370878,1 Story,1766,Yes
1759,NAmes,119000,1 Story,1728,No
1760,IDOTRR,65000,2 Story,864,No
1761,CollgCr,200500,2 Story,1682,No
1762,Gilbert,180000,Other,1430,Yes
1763,Gilbert,183500,2 Story,1525,Yes
1764,CollgCr,230000,2 Story,1840,No
1765,Timber,186700,1 Story,1572,Yes
1766,Gilbert,257500,2 Story,2004,Yes
1767,OldTown,66500,Other,1131,No
1768,NoRidge,290000,2 Story,2683,Yes
1769,NAmes,169500,2 Story,1812,Yes
1770,Mitchel,132000,Other,970,No
1771,BrDale,111000,2 Story,987,No
1772,NAmes,115000,1 Story,1005,Yes
1773,CollgCr,210000,1 Story,1436,No
1774,Somerst,297900,2 Story,1874,Yes
1775,BrDale,105500,2 Story,1092,No
1776,Somerst,227000,1 Story,1588,Yes
1777,NAmes,120000,1 Story,912,No
1778,NoRidge,262000,1 Story,1624,Yes
1779,Timber,283463,1 Story,1776,Yes
1780,MeadowV,94900,Other,988,Yes
1781,Sawyer,113500,1 Story,1052,Yes
1782,IDOTRR,150909,2 Story,1828,No
1783,CollgCr,237000,1 Story,1498,Yes
1784,Timber,279900,2 Story,2486,Yes
1785,Somerst,300000,1 Story,1638,Yes
1786,BrkSide,113000,Other,884,No
1787,IDOTRR,145400,Other,1285,No
1788,NAmes,126000,1 Story,882,No
1789,OldTown,93500,2 Story,1248,No
1790,OldTown,157500,2 Story,1539,Yes
1791,CollgCr,231500,2 Story,1764,No
1792,Gilbert,377500,1 Story,1746,Yes
1793,NWAmes,241500,1 Story,1872,Yes
1794,Crawfor,177000,2 Story,1680,No
1795,CollgCr,216837,1 Story,1836,Yes
1796,NAmes,154300,2 Story,2274,No
1797,CollgCr,140000,1 Story,848,No
1798,NAmes,207500,1 Story,1600,Yes
1799,SawyerW,146000,1 Story,1175,No
1800,CollgCr,191000,2 Story,1795,No
1801,SawyerW,147000,Other,996,No
1802,CollgCr,300000,1 Story,1786,Yes
1803,NridgHt,338931,2 Story,2550,Yes
1804,CollgCr,210900,2 Story,2049,Yes
1805,NAmes,162000,1 Story,1287,Yes
1806,SawyerW,82000,1 Story,841,No
1807,Gilbert,155000,1 Story,1424,No
1808,CollgCr,173500,1 Story,1190,No
1809,BrkSide,127000,Other,1285,No
1810,Sawyer,150000,1 Story,1299,Yes
1811,Somerst,336820,1 Story,1670,Yes
1812,Sawyer,125000,1 Story,894,No
1813,OldTown,80400,Other,1844,Yes
1814,NAmes,137000,2 Story,1920,No
1815,NridgHt,615000,1 Story,2470,Yes
1816,SawyerW,201000,2 Story,1721,No
1817,OldTown,180000,Other,2640,Yes
1818,BrkSide,214500,Other,2134,No
1819,Gilbert,192000,2 Story,1489,Yes
1820,Edwards,119000,Other,1367,No
1821,NAmes,117500,1 Story,925,No
1822,CollgCr,194000,1 Story,1220,No
1823,IDOTRR,126000,Other,1656,Yes
1824,MeadowV,76000,2 Story,1092,No
1825,OldTown,148000,2 Story,1534,No
1826,IDOTRR,99500,Other,1315,No
1827,SWISU,179500,Other,2192,Yes
1828,NAmes,138000,Other,1183,No
1829,Blueste,200000,1 Story,1020,No
1830,NAmes,123000,1 Story,872,No
1831,OldTown,109000,Other,1034,No
1832,Gilbert,192140,2 Story,1838,Yes
1833,OldTown,140000,2 Story,1812,Yes
1834,Gilbert,175000,2 Story,1446,Yes
1835,NridgHt,175500,2 Story,1626,No
1836,SawyerW,224500,Other,1440,No
1837,Sawyer,133500,1 Story,925,No
1838,Mitchel,129500,Other,768,No
1839,NridgHt,315000,1 Story,1980,Yes
1840,Gilbert,168000,Other,1430,Yes
1841,BrDale,88000,2 Story,1092,No
1842,Veenker,187000,Other,1855,Yes
1843,OldTown,111500,1 Story,844,No
1844,CollgCr,196500,2 Story,1720,No
1845,BrkSide,79500,1 Story,935,No
1846,Gilbert,180000,2 Story,1509,Yes
1847,NAmes,150750,1 Story,1327,No
1848,StoneBr,319000,1 Story,1826,Yes
1849,BrkSide,68500,1 Story,520,No
1850,Sawyer,140000,Other,1601,No
1851,OldTown,119000,Other,1480,No
1852,ClearCr,270000,1 Story,1483,Yes
1853,NPkVill,155000,2 Story,1548,Yes
1854,CollgCr,229800,2 Story,1876,No
1855,NAmes,147000,1 Story,912,No
1856,NAmes,139000,Other,1109,No
1857,SawyerW,181000,1 Story,1486,No
1858,NAmes,129900,1 Story,1200,No
1859,Blmngtn,246578,1 Story,1500,Yes
1860,SWISU,137450,Other,1608,Yes
1861,Timber,195000,1 Story,1675,No
1862,Somerst,186500,2 Story,1553,No
1863,Gilbert,160000,Other,1472,Yes
1864,Edwards,79000,Other,1096,No
1865,Crawfor,200100,2 Story,1802,Yes
1866,StoneBr,180000,1 Story,1337,Yes
1867,NWAmes,256900,2 Story,2640,Yes
1868,Greens,206000,1 Story,1226,Yes
1869,Edwards,186000,1 Story,1212,No
1870,CollgCr,227000,2 Story,1939,Yes
1871,Mitchel,153500,Other,1008,Yes
1872,Sawyer,168000,1 Story,1437,Yes
1873,OldTown,124500,2 Story,1358,Yes
1874,ClearCr,155000,Other,1052,No
1875,NWAmes,162000,2 Story,1395,Yes
1876,NAmes,145000,1 Story,1387,Yes
1877,Gilbert,181000,2 Story,1604,Yes
1878,SWISU,160000,Other,1268,Yes
1879,Mitchel,130000,1 Story,2034,No
1880,Blmngtn,156820,1 Story,1142,No
1881,NridgHt,402861,1 Story,2020,Yes
1882,Mitchel,160500,1 Story,1189,No
1883,Crawfor,315000,2 Story,2727,Yes
1884,NWAmes,178900,2 Story,1877,Yes
1885,Sawyer,135000,1 Story,980,No
1886,Edwards,139600,1 Story,1733,Yes
1887,CollgCr,126000,1 Story,990,No
1888,Edwards,119000,1 Story,948,Yes
1889,ClearCr,164000,1 Story,1000,Yes
1890,Gilbert,179000,2 Story,1800,Yes
1891,Somerst,245000,1 Story,1563,Yes
1892,CollgCr,187000,2 Story,1499,Yes
1893,Sawyer,165000,Other,1020,Yes
1894,Crawfor,136500,1 Story,1422,No
1895,NAmes,146000,1 Story,1824,No
1896,OldTown,125000,1 Story,1200,No
1897,Edwards,157000,1 Story,1090,No
1898,Somerst,149900,2 Story,1223,No
1899,NridgHt,479069,1 Story,2552,Yes
1900,NoRidge,355000,2 Story,2475,Yes
1901,OldTown,112500,1 Story,924,No
1902,OldTown,142900,Other,2377,Yes
1903,OldTown,64000,1 Story,672,No
1904,NAmes,167500,1 Story,1264,Yes
1905,NAmes,129900,1 Story,864,No
1906,NAmes,110000,1 Story,1392,Yes
1907,IDOTRR,101000,Other,1111,No
1908,Edwards,131750,1 Story,960,No
1909,IDOTRR,87000,Other,803,No
1910,NAmes,148000,1 Story,1081,No
1911,NWAmes,153500,1 Story,1074,No
1912,NAmes,99000,1 Story,925,No
1913,NridgHt,224000,1 Story,1358,Yes
1914,CollgCr,230000,1 Story,1795,Yes
1915,OldTown,99900,1 Story,967,Yes
1916,MeadowV,134000,1 Story,1142,Yes
1917,Edwards,308030,1 Story,1508,Yes
1918,NWAmes,227000,2 Story,1665,No
1919,NAmes,153000,1 Story,1118,No
1920,Blmngtn,187687,1 Story,1246,Yes
1921,NoRidge,300000,2 Story,2234,Yes
1922,Edwards,155891,1 Story,992,No
1923,Crawfor,230000,1 Story,1811,Yes
1924,CollgCr,287000,2 Story,2263,Yes
1925,NoRidge,260000,2 Story,2061,Yes
1926,OldTown,133900,Other,2291,Yes
1927,Somerst,270000,2 Story,1795,Yes
1928,Mitchel,209200,Other,1344,No
1929,Edwards,125000,1 Story,1342,No
1930,BrDale,125000,2 Story,1365,No
1931,CollgCr,245350,1 Story,1694,No
1932,SawyerW,187000,2 Story,1710,No
1933,NAmes,129000,2 Story,2380,Yes
1934,Gilbert,174000,2 Story,1484,Yes
1935,CollgCr,131500,1 Story,848,No
1936,Somerst,149500,2 Story,1200,No
1937,NAmes,201800,2 Story,1820,Yes
1938,CollgCr,222000,2 Story,1762,No
